0> Root
1> Hips(p : Root)
2> Spine(p : Hips)
3> Spine1(p : Spine)
4> Spine2(p : Spine1)
5> LeftShoulder(p : Spine2)
6> LeftArm(p : LeftShoulder)
7> LeftForeArm(p : LeftArm)
8> LeftHand(p : LeftForeArm)
9> LeftHandIndex1(p : LeftHand)
10> LeftHandIndex2(p : LeftHandIndex1)
11> LeftHandIndex3(p : LeftHandIndex2)
12> LeftHandIndex4(p : LeftHandIndex3)
13> LeftHandMiddle1(p : LeftHand)
14> LeftHandMiddle2(p : LeftHandMiddle1)
15> LeftHandMiddle3(p : LeftHandMiddle2)
16> LeftHandMiddle4(p : LeftHandMiddle3)
17> LeftHandPinky1(p : LeftHand)
18> LeftHandPinky2(p : LeftHandPinky1)
19> LeftHandPinky3(p : LeftHandPinky2)
20> LeftHandPinky4(p : LeftHandPinky3)
21> LeftHandRing1(p : LeftHand)
22> LeftHandRing2(p : LeftHandRing1)
23> LeftHandRing3(p : LeftHandRing2)
24> LeftHandRing4(p : LeftHandRing3)
25> LeftHandThumb1(p : LeftHand)
26> LeftHandThumb2(p : LeftHandThumb1)
27> LeftHandThumb3(p : LeftHandThumb2)
28> LeftHandThumb4(p : LeftHandThumb3)
29> hand_l_wep(p : LeftHand)
30> LeafLeftForeArmRoll1(p : LeftForeArm)
31> LeafLeftArmRoll1(p : LeftArm)
32> RightShoulder(p : Spine2)
33> RightArm(p : RightShoulder)
34> RightForeArm(p : RightArm)
35> RightHand(p : RightForeArm)
36> RightHandIndex1(p : RightHand)
37> RightHandIndex2(p : RightHandIndex1)
38> RightHandIndex3(p : RightHandIndex2)
39> RightHandIndex4(p : RightHandIndex3)
40> RightHandMiddle1(p : RightHand)
41> RightHandMiddle2(p : RightHandMiddle1)
42> RightHandMiddle3(p : RightHandMiddle2)
43> RightHandMiddle4(p : RightHandMiddle3)
44> RightHandPinky1(p : RightHand)
45> RightHandPinky2(p : RightHandPinky1)
46> RightHandPinky3(p : RightHandPinky2)
47> RightHandPinky4(p : RightHandPinky3)
48> RightHandRing1(p : RightHand)
49> RightHandRing2(p : RightHandRing1)
50> RightHandRing3(p : RightHandRing2)
51> RightHandRing4(p : RightHandRing3)
52> RightHandThumb1(p : RightHand)
53> RightHandThumb2(p : RightHandThumb1)
54> RightHandThumb3(p : RightHandThumb2)
55> RightHandThumb4(p : RightHandThumb3)
56> hand_r_wep(p : RightHand)
57> LeafRightForeArmRoll1(p : RightForeArm)
58> LeafRightArmRoll1(p : RightArm)
59> Neck(p : Spine2)
60> Head(p : Neck)
61> LeftUpLeg(p : Hips)
62> LeftLeg(p : LeftUpLeg)
63> LeafLeftLegRoll1(p : LeftLeg)
64> LeftFoot(p : LeftLeg)
65> LeftToeBase(p : LeftFoot)
66> LeafLeftUpLegRoll1(p : LeftUpLeg)
67> RightUpLeg(p : Hips)
68> RightLeg(p : RightUpLeg)
69> LeafRightLegRoll1(p : RightLeg)
70> RightFoot(p : RightLeg)
71> RightToeBase(p : RightFoot)
72> LeafRightUpLegRoll1(p : RightUpLeg)
